,Row.names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
288,ADIPOR1,439.6678903,-0.11991133,0.140973911,-0.850592346,0.394995843,0.666781973
289,ADIPOR2,625.6937382,0.053361811,0.128452764,0.41541972,0.677834673,0.852419354
290,ADIRF,1.053446489,2.186300539,2.872838834,0.761024431,0.446642475,NA
291,ADK,204.3684073,-0.402848333,0.179735168,-2.241343961,0.025003803,0.133309352
292,ADM,36.7551735,-0.224341653,0.409904433,-0.547302335,0.58417104,NA
293,ADM2,0.142543446,1.392358085,5.382264341,0.258693739,0.795871551,NA
294,ADM5,0,NA,NA,NA,NA,NA
295,ADNP2,515.2337633,0.199465706,0.128028018,1.557984804,0.11923685,0.352484197
296,ADO,172.047962,0.227392726,0.197734835,1.149988191,0.250148735,0.530815839
297,ADORA1,326.8129919,0.522699886,0.187487472,2.787919007,0.00530478,0.046562101
298,ADORA2A,3.515265751,1.780107639,1.372367623,1.297106992,0.194594376,NA
299,ADORA2B,20.36759172,0.739244539,0.54124143,1.365831399,0.171991889,NA
300,ADORA3,3.778312825,-0.636515309,1.180976632,-0.53897367,0.589905023,NA
301,ADPGK,101.6994041,0.014843925,0.248365039,0.059766562,0.952341557,0.981134249
302,ADPRH,229.872383,-0.017569728,0.157314185,-0.11168559,0.911072705,0.965258492
303,ADPRHL1,0.385701209,0,4.197737219,0,1,NA
304,ADPRHL2,100.7375577,0.127318144,0.25155182,0.506130882,0.612764772,0.817724544
305,ADPRM,34.88351391,-0.24849402,0.397428245,-0.625255057,0.531803672,NA
306,ADRA1A,0.116501016,0,5.39771668,0,1,NA
307,ADRA1B,4.018543641,0.681455561,1.147684042,0.593765824,0.552668751,NA
308,ADRA2A,11.10377007,-0.166000747,0.866691467,-0.191533843,0.848107368,NA
309,ADRA2B,0.177896231,0,5.39771668,0,1,NA
310,ADRA2C,0.116501016,0,5.39771668,0,1,NA
311,ADRB1,21.44480155,0.032570926,0.533429685,0.061059455,0.951311859,NA
312,ADRB2,94.6159621,-0.624423411,0.259851367,-2.403002218,0.016261089,0.099796281
313,ADRBK1,200.8409492,0.27001671,0.197323954,1.368392964,0.171189106,0.433775782
314,ADRBK2,111.8769483,0.042746614,0.241269787,0.177173504,0.859372107,0.944444337
315,ADRM1,224.4794214,-0.132812368,0.182874823,-0.726247417,0.467687108,0.722022857
