gene_name,log2FC_12h,log2FC_18h,log2FC_24h,acc_untr_12h_tss,acc_untr_12h_avg,acc_vacv_12h_tss,acc_vacv_12h_avg,acc_untr_18h_tss,acc_untr_18h_avg,acc_vacv_18h_tss,acc_vacv_18h_avg,acc_untr_24h_tss,acc_untr_24h_avg,acc_vacv_24h_tss,acc_vacv_24h_avg,expr_delta_12h,expr_delta_18h,expr_delta_24h,acc_delta_12h_tss,acc_delta_18h_tss,acc_delta_24h_tss,acc_delta_12h_avg,acc_delta_18h_avg,acc_delta_24h_avg,expr_var,expr_range,acc_tss_var,acc_tss_range,acc_avg_var,acc_avg_range,expr_slope,acc_tss_slope,acc_avg_slope,expr_dir,acc_tss_dir,acc_avg_dir,expr_acc_tss_agreement,expr_acc_avg_agreement,agree_count,disagree_count,neutral_count,agreement_class
C1H11orf58,-0.331532496357848,0.201022913232824,-0.279461311833451,62.5522,62.5522,24.9418,35.39035,3.92698,22.95774,4.89857,17.417135000000002,7.20862,23.78846,12.1047,12.1047,-0.331532496357848,0.201022913232824,-0.279461311833451,-37.6104,0.9715900000000004,4.89608,-27.16185,-5.540604999999999,-11.68376,0.0861986271799335,0.5325554095906719,551.7954026850999,42.50648,124.13130979202502,21.621245,0.004339265377033,3.5422066666666647,1.2898408333333329,"['→', '→']","['↑', '↑']","['↑', '↓']","['neutral', 'neutral']","['neutral', 'neutral']",0,0,2,mixed
SOX6,-0.162339743932336,-0.471789280179485,-0.0983847919394833,12.5104,11.476810740740742,8.08922,11.459728125,11.1768,9.910027419354838,8.16428,8.742583125,9.13092,8.00957619047619,4.03491,5.355430909090909,-0.162339743932336,-0.471789280179485,-0.0983847919394833,-4.421180000000001,-3.0125200000000003,-5.09601,-0.0170826157407422,-1.1674442943548389,-2.654145281385281,0.0398800272009602,0.3734044882400017,1.1301081840999998,2.0834899999999994,1.747951886499569,2.637062665644539,0.0053295793327377,-0.0562358333333331,-0.2197552221370446,"['→', '→']","['↑', '↓']","['↓', '↓']","['neutral', 'neutral']","['neutral', 'neutral']",0,0,2,mixed
LOC103242219,-2.40581791395058,3.32823994266025,-0.476482760642782,8.66107,14.387001,6.06692,12.65813111111111,5.73944,11.56517642857143,5.44286,9.688278,9.13092,9.49134375,7.26285,6.13307,-2.40581791395058,3.32823994266025,-0.476482760642782,-2.594150000000001,-0.2965800000000005,-1.8680699999999997,-1.728869888888891,-1.8768984285714296,-3.3582737500000004,8.512944747629856,5.73405785661083,1.3792668152333334,2.2975700000000003,0.811890372350323,1.6294038611111097,0.1607779294423164,0.0605066666666667,-0.1357836550925923,"['↑', '↓']","['↑', '↓']","['→', '↓']","['agree', 'agree']","['neutral', 'agree']",2,0,0,strictly_agree
INSC,2.34980868942837,-2.41732797909422,2.40215140992691,26.4644,13.686636666666669,9.43743,8.474412857142857,22.3536,9.643187692307691,4.89857,4.0821425,3.36402,6.247467272727272,3.22793,3.22793,2.34980868942837,-2.41732797909422,2.40215140992691,-17.02697,-17.45503,-0.1360899999999998,-5.21222380952381,-5.561045192307693,-3.019537272727272,7.659285559660223,4.81947938902113,97.57179087693332,17.31894,1.8981355185043427,2.5415079195804213,0.0043618933748781,1.4075733333333311,0.1827238780663779,"['↓', '↑']","['→', '↑']","['→', '↑']","['neutral', 'agree']","['neutral', 'agree']",1,0,1,mostly_agree
CALCB,,,,2.88702,5.132486666666666,5.39281,5.055759999999999,2.71868,5.5128825,3.26571,3.26571,5.7669,4.56546,4.03491,3.63142,,,,2.50579,0.5470299999999999,-1.7319899999999997,-0.0767266666666666,-2.2471725,-0.9340399999999996,,,4.498242037733332,4.237779999999999,1.1950230382502316,2.1704458333333334,,-0.3531483333333329,-0.0714427777777777,"['NA', 'NA']","['↓', '↓']","['↓', '↑']","['NA', 'NA']","['NA', 'NA']",0,0,0,mixed
CALCA,,,,4.33054,4.33054,,,2.71868,2.71868,,,,,,,,,,,,,,,,,,,,,,,,,"['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']","['NA', 'NA']",0,0,0,mixed
LOC103239784,0.221656603868511,-0.0867953619154415,-0.228718759570798,53.8911,45.8716,39.0979,26.29,40.7802,37.8803,28.3028,28.847133333333336,34.1208,29.675475,9.68379,9.414796666666668,0.221656603868511,-0.0867953619154415,-0.228718759570798,-14.7932,-12.4774,-24.43701,-19.5816,-9.033166666666665,-20.26067833333333,0.0530204723318524,0.450375363439309,40.23304538470001,11.95961,39.6312685659528,11.227511666666668,-0.037531280286609,-0.8036508333333325,-0.0565898611111102,"['→', '→']","['↑', '↓']","['↑', '↓']","['neutral', 'neutral']","['neutral', 'neutral']",0,0,2,mixed
PDE3B,-0.0765316182019905,0.0629394645153451,-0.787607679100211,7.21756,9.8640225,3.37051,9.032952,8.15604,7.551893333333333,11.43,11.43,6.72805,6.247475,3.22793,4.438405,-0.0765316182019905,0.0629394645153451,-0.787607679100211,-3.84705,3.273959999999999,-3.5001199999999995,-0.8310705000000009,3.8781066666666666,-1.8090699999999995,0.2080852984682428,0.8505471436155561,16.119550615233326,7.121009999999998,9.246135174488789,5.687176666666666,-0.0592563384081849,0.0289108333333336,-0.0814999583333328,"['→', '↓']","['↑', '↓']","['↑', '↓']","['neutral', 'agree']","['neutral', 'agree']",1,0,1,mostly_agree
PSMA1,-0.361153300122623,-0.310559309623593,-0.682421451311026,37.5313,35.8472,39.0979,29.997550000000004,29.9055,22.1522,20.6828,23.1321,24.5093,13.93666,10.4908,9.280315,-0.361153300122623,-0.310559309623593,-0.682421451311026,1.566600000000001,-9.2227,-14.0185,-5.849649999999997,0.9799000000000042,-4.656345,0.0406757382104991,0.371862141687433,63.71733902333334,15.5851,13.30566462092501,6.829550000000001,-0.0267723459323669,-1.298758333333332,0.0994420833333332,"['→', '→']","['↓', '↓']","['↑', '↓']","['neutral', 'neutral']","['neutral', 'neutral']",0,0,2,mixed
COPB1,-0.177448587339138,-0.215233307166563,-0.140870787964593,5.29288,9.463036666666667,8.76332,7.41512,4.53114,6.94776,7.07571,5.442855,13.9367,8.89065,,,-0.177448587339138,-0.215233307166563,-0.140870787964593,3.47044,2.54457,,-2.0479166666666675,-1.504905,,0.0013825674535974,0.07436251920197,0.4286176284499998,0.9258699999999996,0.147430835068056,0.5430116666666676,0.0030481499478787,-0.1543116666666666,0.0905019444444446,"['→', '→']","['↓', 'NA']","['→', 'NA']","['neutral', 'NA']","['neutral', 'NA']",0,0,1,mixed
LOC103239839,2.09944147059504,1.73449942259798,4.28345417399946,4.81171,12.098017142857143,4.04461,17.189605,9.36435,9.882194285714286,6.53143,9.797165,3.36402,7.881428,3.22793,5.24539,2.09944147059504,1.73449942259798,4.28345417399946,-0.7671000000000001,-2.83292,-0.1360899999999998,5.091587857142857,-0.0850292857142864,-2.636037999999999,1.9000440852867253,2.54895475140148,1.9897796568999997,2.69683,15.503535315344491,7.727625857142856,0.1820010586170348,0.0525841666666665,-0.6439688214285707,"['→', '↑']","['↓', '↑']","['↓', '↓']","['neutral', 'agree']","['neutral', 'disagree']",1,0,1,mostly_agree
RRAS2,-0.0957942033600325,-0.204907852674488,-0.398896388804994,5.29288,10.279563636363635,6.74102,10.560925,4.83321,9.66643875,16.3286,8.345723333333334,4.80575,5.58667625,6.45586,5.64888,-0.0957942033600325,-0.204907852674488,-0.398896388804994,1.4481399999999995,11.49539,1.6501100000000006,0.2813613636363641,-1.3207154166666657,0.0622037500000001,0.023568045906381,0.3031021854449615,32.986260453633335,10.047250000000002,0.7545242485224887,1.6020767803030296,-0.0252585154537467,0.0168308333333337,-0.018263134469697,"['→', '→']","['↑', '↓']","['↓', '↑']","['neutral', 'neutral']","['neutral', 'neutral']",0,0,2,mixed
SPON1,-2.46901633746419,0.0,-0.476134690460906,5.29288,3.66892875,3.37051,3.539035,2.71868,3.66266875,5.44286,4.218215,4.32517,4.084885,3.22793,3.429675,-2.46901633746419,0.0,-0.476134690460906,-1.9223700000000004,2.72418,-1.0972399999999998,-0.1298937500000003,0.5555462499999999,-0.6552099999999998,1.7157205295146507,2.46901633746419,6.145752872633333,4.64655,0.3686193088380207,1.2107562499999998,0.1660734705836068,0.0687608333333334,-0.0437763541666665,"['↑', '→']","['↑', '↓']","['↑', '↓']","['agree', 'neutral']","['agree', 'neutral']",1,0,1,mostly_agree
FAR1,0.435676239339542,0.417510844704915,0.472231430289825,3.3682,31.035495,6.06692,44.49071,5.73944,40.32712,7.62,27.4864,49.9798,49.9798,25.0165,25.0165,0.435676239339542,0.417510844704915,0.472231430289825,2.69872,1.88056,-24.9633,13.455215,-12.84072,-24.9633,0.0007767676723998,0.05472058558491,247.7415926609333,27.66202,385.73590636430833,38.418515,0.0030462659125235,-2.30516833333333,-3.201542916666664,"['→', '→']","['↓', '↓']","['↓', '↓']","['neutral', 'neutral']","['neutral', 'neutral']",0,0,2,mixed
